Sparse 	87.1296 	 ms	S_Test : 7.79207e-07		 Dense 	219.037	 msD_T : 7.79207e-07
Sparse 	93.9227 	 ms	S_Test : 7.6438e-07		 Dense 	326.596	 msD_T : 7.6438e-07
Sparse 	44.9003 	 ms	S_Test : 8.05245e-07		 Dense 	150.398	 msD_T : 8.05245e-07
Sparse 	83.9701 	 ms	S_Test : 9.6271e-07		 Dense 	286.181	 msD_T : 9.6271e-07
Sparse 	58.7479 	 ms	S_Test : 7.69333e-07		 Dense 	193.488	 msD_T : 7.69333e-07
Sparse 	82.7946 	 ms	S_Test : 7.57724e-07		 Dense 	277.482	 msD_T : 7.57724e-07
Sparse 	28.3759 	 ms	S_Test : 8.89759e-07		 Dense 	124.965	 msD_T : 8.89759e-07
Sparse 	140.12 	 ms	S_Test : 7.55458e-07		 Dense 	402.245	 msD_T : 7.55458e-07
Sparse 	46.911 	 ms	S_Test : 9.32814e-07		 Dense 	212.452	 msD_T : 9.32814e-07
Sparse 	61.3704 	 ms	S_Test : 9.46622e-07		 Dense 	287.523	 msD_T : 9.46622e-07
Sparse 	72.5917 	 ms	S_Test : 6.68053e-07		 Dense 	287.071	 msD_T : 6.68053e-07
Sparse 	47.2337 	 ms	S_Test : 7.72954e-07		 Dense 	233.339	 msD_T : 7.72954e-07
Sparse 	54.7934 	 ms	S_Test : 7.54022e-07		 Dense 	189.643	 msD_T : 7.54022e-07
Sparse 	99.8586 	 ms	S_Test : 7.94008e-07		 Dense 	380.335	 msD_T : 7.94008e-07
Sparse 	148.605 	 ms	S_Test : 9.20122e-07		 Dense 	429.597	 msD_T : 9.20122e-07
Sparse 	207.067 	 ms	S_Test : 9.85488e-07		 Dense 	690.265	 msD_T : 9.85488e-07
Sparse 	73.2088 	 ms	S_Test : 8.24776e-07		 Dense 	300.491	 msD_T : 8.24776e-07
Sparse 	97.0408 	 ms	S_Test : 8.89119e-07		 Dense 	325.457	 msD_T : 8.89119e-07
Sparse 	92.1818 	 ms	S_Test : 9.83266e-07		 Dense 	317.264	 msD_T : 9.83266e-07
Sparse 	133.291 	 ms	S_Test : 8.52627e-07		 Dense 	486.058	 msD_T : 8.52627e-07
Sparse 	132.639 	 ms	S_Test : 7.23495e-07		 Dense 	472.978	 msD_T : 7.23495e-07
Sparse 	95.4481 	 ms	S_Test : 7.01903e-07		 Dense 	369.684	 msD_T : 7.01903e-07
Sparse 	142.263 	 ms	S_Test : 8.02023e-07		 Dense 	476.063	 msD_T : 8.02023e-07
Sparse 	112.891 	 ms	S_Test : 8.70721e-07		 Dense 	368.234	 msD_T : 8.70721e-07
Sparse 	149.927 	 ms	S_Test : 8.68433e-07		 Dense 	571.483	 msD_T : 8.68433e-07
Sparse 	37.7264 	 ms	S_Test : 8.89788e-07		 Dense 	202.442	 msD_T : 8.89788e-07
Sparse 	98.8701 	 ms	S_Test : 7.2585e-07		 Dense 	386.18	 msD_T : 7.2585e-07
Sparse 	142.293 	 ms	S_Test : 9.64409e-07		 Dense 	649.969	 msD_T : 9.64409e-07
Sparse 	86.5334 	 ms	S_Test : 8.51406e-07		 Dense 	375.201	 msD_T : 8.51406e-07
Sparse 	143.621 	 ms	S_Test : 8.09239e-07		 Dense 	576.388	 msD_T : 8.09239e-07
Sparse 	89.6423 	 ms	S_Test : 8.63309e-07		 Dense 	388.93	 msD_T : 8.63309e-07
Sparse 	87.4231 	 ms	S_Test : 9.50017e-07		 Dense 	400.456	 msD_T : 9.50017e-07
Sparse 	104.194 	 ms	S_Test : 7.19433e-07		 Dense 	401.877	 msD_T : 7.19433e-07
Sparse 	259.236 	 ms	S_Test : 7.16859e-07		 Dense 	846.906	 msD_T : 7.16859e-07
Sparse 	203.962 	 ms	S_Test : 9.47255e-07		 Dense 	627.086	 msD_T : 9.47255e-07
Sparse 	230.227 	 ms	S_Test : 8.10986e-07		 Dense 	740.823	 msD_T : 8.10986e-07
Sparse 	474.779 	 ms	S_Test : 8.38053e-07		 Dense 	1112.41	 msD_T : 8.38053e-07
Sparse 	178.103 	 ms	S_Test : 8.21073e-07		 Dense 	665.233	 msD_T : 8.21073e-07
Sparse 	160.57 	 ms	S_Test : 9.64185e-07		 Dense 	561.215	 msD_T : 9.64185e-07
Sparse 	298.943 	 ms	S_Test : 8.88251e-07		 Dense 	729.442	 msD_T : 8.88251e-07
Sparse 	437.896 	 ms	S_Test : 7.13827e-07		 Dense 	1189.76	 msD_T : 7.13827e-07
Sparse 	464.223 	 ms	S_Test : 7.55277e-07		 Dense 	1201.72	 msD_T : 7.55277e-07
Sparse 	471.758 	 ms	S_Test : 9.12626e-07		 Dense 	1283.75	 msD_T : 9.12626e-07
